city,year,avg_temp
Abidjan,1849,25.58
Abidjan,1850,25.52
Abidjan,1851,25.67
Abidjan,1852,
Abidjan,1853,
Abidjan,1854,
Abidjan,1855,
Abidjan,1856,26.28
Abidjan,1857,25.17
Abidjan,1858,25.49
Abidjan,1859,25.92
Abidjan,1860,25.46
Abidjan,1861,25.67
Abidjan,1862,25.17
Abidjan,1863,
Abidjan,1864,
Abidjan,1865,
Abidjan,1866,
Abidjan,1867,
Abidjan,1868,
Abidjan,1869,
Abidjan,1870,
Abidjan,1871,
Abidjan,1872,
Abidjan,1873,25.62
Abidjan,1874,25.68
Abidjan,1875,25.25
Abidjan,1876,25.14
Abidjan,1877,25.85
Abidjan,1878,25.87
Abidjan,1879,25.38
Abidjan,1880,25.96
Abidjan,1881,26.07
Abidjan,1882,25.69
Abidjan,1883,26.13
Abidjan,1884,26.37
Abidjan,1885,26.07
Abidjan,1886,25.47
Abidjan,1887,24.91
Abidjan,1888,24.95
Abidjan,1889,25.12
Abidjan,1890,24.86
Abidjan,1891,25.11
Abidjan,1892,25.17
Abidjan,1893,25.33
Abidjan,1894,25.04
Abidjan,1895,25.37
Abidjan,1896,25.33
Abidjan,1897,25.64
Abidjan,1898,25.47
Abidjan,1899,26.46
Abidjan,1900,26.12
Abidjan,1901,25.92
Abidjan,1902,25.59
Abidjan,1903,25.48
Abidjan,1904,25.24
Abidjan,1905,25.78
Abidjan,1906,26.08
Abidjan,1907,25.69
Abidjan,1908,25.80
Abidjan,1909,25.57
Abidjan,1910,25.70
Abidjan,1911,25.41
Abidjan,1912,26.42
Abidjan,1913,26.33
Abidjan,1914,26.28
Abidjan,1915,26.29
Abidjan,1916,26.13
Abidjan,1917,26.47
Abidjan,1918,25.93
Abidjan,1919,26.19
Abidjan,1920,26.32
Abidjan,1921,26.42
Abidjan,1922,26.23
Abidjan,1923,25.96
Abidjan,1924,26.09
Abidjan,1925,26.09
Abidjan,1926,26.79
Abidjan,1927,26.23
Abidjan,1928,26.16
Abidjan,1929,26.50
Abidjan,1930,26.39
Abidjan,1931,26.44
Abidjan,1932,25.81
Abidjan,1933,26.55
Abidjan,1934,26.38
Abidjan,1935,26.15
Abidjan,1936,25.88
Abidjan,1937,26.54
Abidjan,1938,26.53
Abidjan,1939,25.84
Abidjan,1940,26.61
Abidjan,1941,26.77
Abidjan,1942,26.34
Abidjan,1943,26.06
Abidjan,1944,26.56
Abidjan,1945,26.52
Abidjan,1946,26.25
Abidjan,1947,26.37
Abidjan,1948,26.15
Abidjan,1949,26.51
Abidjan,1950,26.20
Abidjan,1951,26.32
Abidjan,1952,26.28
Abidjan,1953,26.24
Abidjan,1954,26.01
Abidjan,1955,26.03
Abidjan,1956,25.90
Abidjan,1957,26.28
Abidjan,1958,26.19
Abidjan,1959,26.39
Abidjan,1960,26.36
Abidjan,1961,26.25
Abidjan,1962,26.19
Abidjan,1963,26.55
